Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Mean,Error,StdDev,Min,Max,Median,Ratio,RatioSD,Rank,Gen 0,Gen 1,Gen 2,Allocated
Origin,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,netcoreapp2.1,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,64,Default,"Read,Time",444.5 ns,7.597 ns,7.107 ns,434.1 ns,458.9 ns,443.2 ns,1.00,0.03,1,-,-,-,-
Origin,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,netcoreapp2.0,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,64,Default,"Read,Time",447.2 ns,8.835 ns,10.175 ns,433.6 ns,466.5 ns,445.0 ns,1.00,0.00,1,-,-,-,-
Origin,Default,False,Default,Default,Default,Default,Default,Default,11111111,Empty,RyuJit,X64,Core,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,netcoreapp2.2,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,64,Default,"Read,Time",885.0 ns,20.276 ns,25.642 ns,850.9 ns,960.8 ns,884.5 ns,1.98,0.07,2,-,-,-,-
