// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:12 (12 sec)   *****
// Found 3 benchmarks:
//   DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-PEYBSU(Runtime=Core, Toolchain=netcoreapp2.1, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-BGTYRW(Runtime=Core, Toolchain=netcoreapp2.2, UnrollFactor=64)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eef1315b-f324-4bb4-af22-6ce6bc6ebc7c.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\eef1315b-f324-4bb4-af22-6ce6bc6ebc7c\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-NNVNPD(Runtime=Core, UnrollFactor=64)

WorkloadActual  16: 2097152 op, 1329352830.91 ns, 633.8848 ns/op
WorkloadActual  17: 2097152 op, 935317066.04 ns, 445.9939 ns/op
WorkloadActual  18: 2097152 op, 973859607.19 ns, 464.3724 ns/op
WorkloadActual  19: 2097152 op, 944958528.48 ns, 450.5913 ns/op
WorkloadActual  20: 2097152 op, 934482697.32 ns, 445.5961 ns/op
WorkloadActual  21: 2097152 op, 917042336.71 ns, 437.2799 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 963945552.70 ns, 459.6451 ns/op
WorkloadResult   2: 2097152 op, 927615747.92 ns, 442.3217 ns/op
WorkloadResult   3: 2097152 op, 936590347.48 ns, 446.6011 ns/op
WorkloadResult   4: 2097152 op, 924924197.68 ns, 441.0382 ns/op
WorkloadResult   5: 2097152 op, 943968900.80 ns, 450.1194 ns/op
WorkloadResult   6: 2097152 op, 978647350.82 ns, 466.6554 ns/op
WorkloadResult   7: 2097152 op, 913164813.50 ns, 435.4309 ns/op
WorkloadResult   8: 2097152 op, 921615167.18 ns, 439.4604 ns/op
WorkloadResult   9: 2097152 op, 941951324.54 ns, 449.1574 ns/op
WorkloadResult  10: 2097152 op, 926963897.36 ns, 442.0108 ns/op
WorkloadResult  11: 2097152 op, 913156912.28 ns, 435.4271 ns/op
WorkloadResult  12: 2097152 op, 939753600.49 ns, 448.1094 ns/op
WorkloadResult  13: 2097152 op, 974334470.45 ns, 464.5989 ns/op
WorkloadResult  14: 2097152 op, 921249340.74 ns, 439.2859 ns/op
WorkloadResult  15: 2097152 op, 930451890.47 ns, 443.6740 ns/op
WorkloadResult  16: 2097152 op, 968994431.62 ns, 462.0526 ns/op
WorkloadResult  17: 2097152 op, 940093352.90 ns, 448.2714 ns/op
WorkloadResult  18: 2097152 op, 929617521.74 ns, 443.2762 ns/op
WorkloadResult  19: 2097152 op, 912177161.13 ns, 434.9600 ns/op
GC:  0 0 0 0 2097152

// AfterAll

Mean = 446.9524 ns, StdErr = 2.2531 ns (0.50%); N = 19, StdDev = 9.8212 ns
Min = 434.9600 ns, Q1 = 439.4604 ns, Median = 443.6740 ns, Q3 = 450.1194 ns, Max = 466.6554 ns
IQR = 10.6591 ns, LowerFence = 423.4717 ns, UpperFence = 466.1081 ns
ConfidenceInterval = [438.1164 ns; 455.7885 ns] (CI 99.9%), Margin = 8.8360 ns (1.98% of Mean)
Skewness = 0.7, Kurtosis = 2.21, MValue = 2

// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-PEYBSU(Runtime=Core, Toolchain=netcoreapp2.1, UnrollFactor=64)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "49f40a65-18d4-4614-ab5d-48e57f14322c.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.1, UnrollFactor=64" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\49f40a65-18d4-4614-ab5d-48e57f14322c\bin\Release\netcoreapp2.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.1.11 (CoreCLR 4.6.27617.04, CoreFX 4.6.27617.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-UXXFTT(Runtime=Core, UnrollFactor=64)

OverheadJitting  1: 64 op, 1406021.91 ns, 21.9691 us/op
WorkloadJitting  1: 64 op, 1122368.15 ns, 17.5370 us/op

WorkloadPilot    1: 64 op, 29629.57 ns, 462.9620 ns/op
WorkloadPilot    2: 128 op, 54913.47 ns, 429.0115 ns/op
WorkloadPilot    3: 256 op, 107851.64 ns, 421.2955 ns/op
WorkloadPilot    4: 512 op, 240592.12 ns, 469.9065 ns/op
WorkloadPilot    5: 1024 op, 446418.87 ns, 435.9559 ns/op
WorkloadPilot    6: 2048 op, 988442.49 ns, 482.6379 ns/op
WorkloadPilot    7: 4096 op, 1720490.43 ns, 420.0416 ns/op
WorkloadPilot    8: 8192 op, 3544091.76 ns, 432.6284 ns/op
WorkloadPilot    9: 16384 op, 6977961.53 ns, 425.9010 ns/op
WorkloadPilot   10: 32768 op, 14425255.46 ns, 440.2239 ns/op
WorkloadPilot   11: 65536 op, 28636387.88 ns, 436.9566 ns/op
WorkloadPilot   12: 131072 op, 56849665.48 ns, 433.7285 ns/op
WorkloadPilot   13: 262144 op, 117915816.46 ns, 449.8131 ns/op
WorkloadPilot   14: 524288 op, 233740575.33 ns, 445.8248 ns/op
WorkloadPilot   15: 1048576 op, 459220426.23 ns, 437.9467 ns/op
WorkloadPilot   16: 2097152 op, 928188191.23 ns, 442.5946 ns/op

OverheadWarmup   1: 2097152 op, 5112088.67 ns, 2.4376 ns/op
OverheadWarmup   2: 2097152 op, 4983693.86 ns, 2.3764 ns/op
OverheadWarmup   3: 2097152 op, 4989224.71 ns, 2.3790 ns/op
OverheadWarmup   4: 2097152 op, 5080483.79 ns, 2.4226 ns/op
OverheadWarmup   5: 2097152 op, 4979743.25 ns, 2.3745 ns/op
OverheadWarmup   6: 2097152 op, 5066656.66 ns, 2.4160 ns/op
OverheadWarmup   7: 2097152 op, 5073372.69 ns, 2.4192 ns/op
OverheadWarmup   8: 2097152 op, 5033076.48 ns, 2.4000 ns/op

OverheadActual   1: 2097152 op, 5131446.65 ns, 2.4469 ns/op
OverheadActual   2: 2097152 op, 5195446.53 ns, 2.4774 ns/op
OverheadActual   3: 2097152 op, 5278804.39 ns, 2.5171 ns/op
OverheadActual   4: 2097152 op, 5061125.81 ns, 2.4133 ns/op
OverheadActual   5: 2097152 op, 5040187.57 ns, 2.4033 ns/op
OverheadActual   6: 2097152 op, 5009372.82 ns, 2.3887 ns/op
OverheadActual   7: 2097152 op, 5472384.25 ns, 2.6094 ns/op
OverheadActual   8: 2097152 op, 5067051.72 ns, 2.4162 ns/op
OverheadActual   9: 2097152 op, 5288285.85 ns, 2.5217 ns/op
OverheadActual  10: 2097152 op, 5588927.23 ns, 2.6650 ns/op
OverheadActual  11: 2097152 op, 5557717.42 ns, 2.6501 ns/op
OverheadActual  12: 2097152 op, 5165421.90 ns, 2.4631 ns/op
OverheadActual  13: 2097152 op, 5667544.36 ns, 2.7025 ns/op
OverheadActual  14: 2097152 op, 4980928.43 ns, 2.3751 ns/op
OverheadActual  15: 2097152 op, 5253125.43 ns, 2.5049 ns/op

WorkloadWarmup   1: 2097152 op, 962733110.65 ns, 459.0669 ns/op
WorkloadWarmup   2: 2097152 op, 928429968.53 ns, 442.7099 ns/op
WorkloadWarmup   3: 2097152 op, 922305338.66 ns, 439.7895 ns/op
WorkloadWarmup   4: 2097152 op, 919849244.74 ns, 438.6183 ns/op
WorkloadWarmup   5: 2097152 op, 984950548.25 ns, 469.6610 ns/op
WorkloadWarmup   6: 2097152 op, 929715496.86 ns, 443.3229 ns/op
WorkloadWarmup   7: 2097152 op, 933201514.66 ns, 444.9852 ns/op
WorkloadWarmup   8: 2097152 op, 923232941.76 ns, 440.2318 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 926084886.75 ns, 441.5917 ns/op
WorkloadActual   2: 2097152 op, 985714991.18 ns, 470.0255 ns/op
WorkloadActual   3: 2097152 op, 918605592.88 ns, 438.0253 ns/op
WorkloadActual   4: 2097152 op, 926867897.54 ns, 441.9651 ns/op
WorkloadActual   5: 2097152 op, 917925692.99 ns, 437.7011 ns/op
WorkloadActual   6: 2097152 op, 954357028.43 ns, 455.0729 ns/op
WorkloadActual   7: 2097152 op, 943258976.28 ns, 449.7809 ns/op
WorkloadActual   8: 2097152 op, 920816353.94 ns, 439.0795 ns/op
WorkloadActual   9: 2097152 op, 915636709.85 ns, 436.6096 ns/op
WorkloadActual  10: 2097152 op, 925148197.24 ns, 441.1450 ns/op
WorkloadActual  11: 2097152 op, 967926976.93 ns, 461.5435 ns/op
WorkloadActual  12: 2097152 op, 922973781.78 ns, 440.1082 ns/op
WorkloadActual  13: 2097152 op, 923870965.19 ns, 440.5360 ns/op
WorkloadActual  14: 2097152 op, 920138429.36 ns, 438.7562 ns/op
WorkloadActual  15: 2097152 op, 949250075.56 ns, 452.6377 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 920889440.22 ns, 439.1143 ns/op
WorkloadResult   2: 2097152 op, 980519544.65 ns, 467.5482 ns/op
WorkloadResult   3: 2097152 op, 913410146.35 ns, 435.5479 ns/op
WorkloadResult   4: 2097152 op, 921672451.02 ns, 439.4877 ns/op
WorkloadResult   5: 2097152 op, 912730246.46 ns, 435.2237 ns/op
WorkloadResult   6: 2097152 op, 949161581.90 ns, 452.5955 ns/op
WorkloadResult   7: 2097152 op, 938063529.75 ns, 447.3035 ns/op
WorkloadResult   8: 2097152 op, 915620907.42 ns, 436.6021 ns/op
WorkloadResult   9: 2097152 op, 910441263.33 ns, 434.1322 ns/op
WorkloadResult  10: 2097152 op, 919952750.71 ns, 438.6677 ns/op
WorkloadResult  11: 2097152 op, 962731530.41 ns, 459.0662 ns/op
WorkloadResult  12: 2097152 op, 917778335.25 ns, 437.6308 ns/op
WorkloadResult  13: 2097152 op, 918675518.67 ns, 438.0586 ns/op
WorkloadResult  14: 2097152 op, 914942982.83 ns, 436.2788 ns/op
WorkloadResult  15: 2097152 op, 944054629.03 ns, 450.1603 ns/op
GC:  0 0 0 0 2097152

// AfterAll

Mean = 443.1612 ns, StdErr = 2.5842 ns (0.58%); N = 15, StdDev = 10.0086 ns
Min = 434.1322 ns, Q1 = 436.2788 ns, Median = 438.6677 ns, Q3 = 450.1603 ns, Max = 467.5482 ns
IQR = 13.8815 ns, LowerFence = 415.4565 ns, UpperFence = 470.9826 ns
ConfidenceInterval = [432.4614 ns; 453.8610 ns] (CI 99.9%), Margin = 10.6998 ns (2.41% of Mean)
Skewness = 1.13, Kurtosis = 2.98, MValue = 2

// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-BGTYRW(Runtime=Core, Toolchain=netcoreapp2.2, UnrollFactor=64)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "7f22c4fe-0f46-467e-a2b0-1975b595d6e6.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.2, UnrollFactor=64" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\7f22c4fe-0f46-467e-a2b0-1975b595d6e6\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-GSLKWN(Runtime=Core, UnrollFactor=64)

OverheadJitting  1: 64 op, 1271701.19 ns, 19.8703 us/op
WorkloadJitting  1: 64 op, 1161479.19 ns, 18.1481 us/op

WorkloadPilot    1: 64 op, 72296.15 ns, 1.1296 us/op
WorkloadPilot    2: 128 op, 105481.27 ns, 824.0724 ns/op
WorkloadPilot    3: 256 op, 209382.30 ns, 817.8996 ns/op
